"记录类型","报告月份","用量日期_中国时区","请求时间_UTC","数据时点_UTC","用户名","用户ID","接口","请求模型","上游模型","客户模型别名","输入Token","输出Token","总Token","缓存Token","缓存读取Token","缓存创建Token","图片数","视频数","计量类型","计量数量","计费SKU","价格版本","计费模式","模型倍率","输出倍率","缓存读取倍率","图片倍率","视频倍率","请求日志费用_分","请求日志费用_USD","日账本费用_分","日账本费用_USD","日账本计费请求数","请求日志记录数","耗时毫秒","状态码"
"请求明细","2026-08","2026-08-01","2026-08-01T08:05:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1183","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:06:03Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1147","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:06:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","5","81","0","0","0","0","0","tokens","81","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1723","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:06:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","8412","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:06:14Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2453","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:06:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","2251","1","2252","1935","1935","314","0","0","tokens","2252","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","1","0.01","","","","","1296","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:06:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1110","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:07:03Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","922","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:07:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","20","96","0","0","0","0","0","tokens","96","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","2123","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:07:14Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1995","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:07:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","483","1","484","398","398","83","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1458","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:07:36Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","31667","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:07:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","983","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:08:03Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1144","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:08:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","20","96","0","0","0","0","0","tokens","96","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1425","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:08:08Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","83","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","3638","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:08:14Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2214","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:08:31Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","483","1","484","398","398","83","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","3485","200"
