"记录类型","报告月份","用量日期_中国时区","请求时间_UTC","数据时点_UTC","用户名","用户ID","接口","请求模型","上游模型","客户模型别名","输入Token","输出Token","总Token","缓存Token","缓存读取Token","缓存创建Token","图片数","视频数","计量类型","计量数量","计费SKU","价格版本","计费模式","模型倍率","输出倍率","缓存读取倍率","图片倍率","视频倍率","请求日志费用_分","请求日志费用_USD","日账本费用_分","日账本费用_USD","日账本计费请求数","请求日志记录数","耗时毫秒","状态码"
"日账本日汇总","2026-08","2026-08-01","","2026-08-01T14:33:09.412Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","","","","","6177122","66901","6244023","","","","0","0","","","","","","","","","","","","","898","8.98","8222","8295","",""
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","20","485","0","0","0","0","0","tokens","485","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","3404","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2826","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2510","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","372","5","377","0","0","0","0","0","tokens","377","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","11918","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2708","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2483","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","17","482","0","0","0","0","0","tokens","482","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","2364","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2710","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:09Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","372","5","377","0","0","0","0","0","tokens","377","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","7912","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:12Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2050","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2792","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:47Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","4186","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:02:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2269","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:02:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","5","470","0","0","0","0","0","tokens","470","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","4098","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:02:08Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","7228","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:02:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2439","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:02:28Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2154","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:02:44Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1119","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:03:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","17","482","0","0","0","0","0","tokens","482","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1991","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:03:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2099","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:03:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2532","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:03:28Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","372","5","377","0","0","0","0","0","tokens","377","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","26849","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:03:28Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1582","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:03:43Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1074","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:04:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2180","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:04:09Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","17","482","0","0","0","0","0","tokens","482","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","7546","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:04:10Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","9401","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:04:15Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","4252","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:04:28Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2267","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:04:44Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1337","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:05:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2047","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:05:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","16","481","0","0","0","0","0","tokens","481","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","4413","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:05:08Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","372","5","377","0","0","0","0","0","tokens","377","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","7136","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:05:12Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1476","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:05:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","3126","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:05:44Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1950","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:06:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","5","470","0","0","0","0","0","tokens","470","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1656","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:06:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1866","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:06:08Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","6997","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:06:15Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","4726","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:06:28Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","124","2","126","60","60","5","0","0","tokens","126","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2180","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:06:46Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","3252","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:07:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","17","482","0","0","0","0","0","tokens","482","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","2353","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:07:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2825","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:07:08Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","372","5","377","0","0","0","0","0","tokens","377","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","7248","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:07:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2856","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:07:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2398","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:07:44Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1386","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:08:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1860","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:08:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","20","485","0","0","0","0","0","tokens","485","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","3730","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:08:08Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","7154","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:08:14Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","3856","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:08:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2799","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:08:44Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1186","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:09:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","24","489","0","0","0","0","0","tokens","489","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","2284","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:09:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2961","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:09:07Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","6258","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:09:24Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","14092","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:09:28Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1840","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:09:43Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1077","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:10:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","5","470","0","0","0","0","0","tokens","470","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1601","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:10:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2781","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:10:12Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1661","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:10:24Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","23340","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:10:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","124","2","126","60","60","5","0","0","tokens","126","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2688","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:10:44Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2054","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:11:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","5","470","0","0","0","0","0","tokens","470","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1774","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:11:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1963","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:11:12Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1514","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:11:16Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","14915","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:11:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2468","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:11:47Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","4609","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:12:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1813","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:12:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","5","470","0","0","0","0","0","tokens","470","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1601","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:12:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","465","5","470","0","0","0","0","0","tokens","470","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2308","200"
